KHOKHAR ELECTRICALS PVT. LTD.,,,,,,,,,,
"6/2-2, Industrial Area Kirti Nagar, New Delhi-110015",,,,,,,,,,
List of Mat. Rcvd. from Party Vouchers,,,,,,,,,,
"Voucher Series : All, All Broker",,,,,,From 1-4-2025 to 31-3-2026,,,,
 - Indicates Unapproved Voucher/ - Indicates Rejected Voucher,,,,,,,,,,
,,,,,,,,,,
,Date,Vch/Bill No,Particulars,Item Details,Material Centre,Qty.,Unit,Price,Amount,Notes
,01-04-2025,MR/DL/RTN/25/1,Khokhar Electricals Pvt Ltd (Noida C44),VFD 15KW IC2-MICRO,Main DL,65,Nos,23500,1527500,
,02-04-2025,MR/NDC/25/1,Print Gallery,CORRUGATED BOX 610x415x240MM 3PLY,Main NDC,280,Nos,51,14280,
,02-04-2025,MR/NDJ/25/1,Durga Bhai And Co,MCB FP 2A 10kA 'C' ACTI9,Main NDJ,2,Nos,1012.5,2025,
,,,,MCCB FP 125A ATFM Icu50kA=Ics SCH,,4,Nos,14628.8,58515.2,
,02-04-2025,MR/NDJ/25/2,Sharma Electricals,MFM METER CL1 RS485 LED 4410,4465,7,Nos,4632,32424,
,,,,MFM METER CL1 RS485 LED 4410,,46,Nos,4632,213072,
,02-04-2025,MR/NDJ/25/3,Air Liquide North India Private Limited,PREMIUM CYLINDER N2 LASAL 2001,Main NDJ,2,Nos,5301.51,10603.02,
,,,,PREMIUM CYLINDER ARGON ARCAL 1 CYL 50 L,,1,Nos,945,945,
,,,,OTHER CYLINDER ARCAL & PREMIUM ARGON MIX,,1,Nos,1140,1140,
,,,,Freight Charges 18%,,2,-,2471.34,4942.68,
,,,,Freight Charges 18%,,2,-,155.14,310.28,
,02-04-2025,MR/NDJ/25/4,Sharma Electricals,"SINGLE PHASE UNDER,OVER CURRENT RELAY 5A",4485,86,Nos,1875,161250,
,,,,"SINGLE PHASE UNDER,OVER CURRENT RELAY 5A",,256,Nos,1875,480000,
,02-04-2025,MR/NDJ/25/5,Power Tech International,ILLUMINATION LIGHT LED 5W 1 FEET,Main NDJ,100,Nos,170,17000,
,02-04-2025,MR/NDJ/25/6,Paras Enterprises,HS SLEEVE 11KV 50x20mm,4454,50,Mtr,250,12500,
,02-04-2025,MR/NDJ/25/7,Sharma Electricals,UNDER/OVER VOLTAGE RELAY A/M RESET,4454,1,Nos,2124.25,2124.25,
,,,,MFM METER CL0.5 RS485 LED 4400,,2,Nos,3302.25,6604.5,
,02-04-2025,MR/NDJ/RTN/25/1,AVL India Pvt. Ltd.,VFD (DETAIL AS PER ITEM DESCRIPTION),4642,4,Nos,0,0,
,03-04-2025,MR/DL/25/1,Pranchi Enterprises,EPE FOAM ROLLS 1400mmx135Mtrx3mm,Main DL,2,Nos,2080,4160,
,03-04-2025,MR/DL/25/2,Khokhar Electricals Pvt Ltd (Noida J44),FSM CNCH EP 30KA-900,4609-1-DL,7,Nos,5730,40110,
,,,,FSM CNCH EP 30KA-550,,4,Nos,5730,22920,
,,,,FSM CNCH EP 30KA-V550/V600/V700,,1,Nos,20120,20120,
,03-04-2025,MR/NDJ/25/8,Ujjwal Switchgear Inc.,SPREADER FP 100-250A MCCB CVS UJJWAL,Main NDJ,4,Nos,213,852,
,,,,SPREADER FP 250A MCCB 8PCS DUDN1DN2-250,,5,Nos,670,3350,
,,,,SPREADER FP 400A MCCB 8PCS DN3B-DN3-400,,1,Nos,1405,1405,
,,,,SPREADER FP 630A MCCB 8PCS DN3-630,,1,Nos,1438,1438,
,,,,SPREADER FP 630A MCCB 8PCS T5-400-630,,1,Nos,2162,2162,
,,,,SPREADER FP 400/630A MCCB 3VA2*,,16,Nos,790,12640,
,,,,SPREADER FP 160A MCCB 3VM10/11 UJJWAL,,26,Nos,388,10088,
,,,,SPREADER TP 100A MCCB 6PCS DN0-100/DU100,,6,Nos,118,708,
,,,,SPREADER TP 250A MCCB 6PCS DU DN1DN2-250,,10,Nos,505,5050,
,,,,SPREADER TP 630A MCCB 6PCS DN3-630,,6,Nos,1132,6792,
,03-04-2025,MR/NDJ/25/9,Philco Engineering Industries,PT 300VA 415V/220V,4637,1,Nos,2800,2800,
,,,,PT 1kVA 415/115VAC,,3,Nos,5600,16800,
,,,,PT 200VA 115/24VAC,,4,Nos,2700,10800,
,,,,PT 200VA 230/24V,,3,Nos,2700,8100,
,,,,PT 500VA 415/230V,,3,Nos,3750,11250,
,,,,PT 800VA 415/230V,,3,Nos,5600,16800,
,,,,PT 2kVA 415/230V +5% 1500VA 24V-250VA,,2,Nos,10500,21000,
,03-04-2025,MR/NDJ/25/10,Aarcee Mittal And Bros,CBCT ID120mm 30mA -GIC 17H7NNLN3,4560,36,Nos,1237.5,44550,
,03-04-2025,MR/NDJ/25/11,System Controls And Switchgears,RELAY BASE 2C/O CR-M2SFB,4454,5,Nos,115.5,577.5,
,,,,MCB TP 6A 10kA 'C' SB203M-C6,,2,Nos,610.7,1221.4,
,,,,MCB DP 16A 10kA 'C' SB202M-C16,,2,Nos,372,744,
,03-04-2025,MR/NDJ/25/12,Sharma Electricals,RCBO FP 63A 300mA TYPE-AC,4553,14,Nos,2750,38500,
,,,,RCBO FP 32A 300mA TYPE-AC,,16,Nos,2446,39136,
,03-04-2025,MR/NDJ/25/13,Durga Enterprises,CABLE DUCT 60x100MMx2Mtr,4553,168,Mtr,233.86,39288.48,
,,,,Freight Charges 18%,,1,-,300,300,
,,,,CABLE DUCT 60x80MMx2Mtr,,72,Mtr,165.78,11936.16,
,03-04-2025,MR/NDJ/25/14,Sharma Electricals,BREAKER CONTROL SWT (TNC) 2NO+2NC SALZER,4395,3,Nos,864.2,2592.6,
,,,,DIGITAL AMMETER -/5A 1PH CL1 LT,,6,Nos,486.2,2917.2,
,,,,DIGITAL AMMETER -/5A 3PH CL1 LT,,7,Nos,741,5187,
,,,,"VAF,PF METER CL1 RS485 LED LT",,3,Nos,1554.8,4664.4,
,03-04-2025,MR/NDJ/25/15,Aarcee Electrical Controls,METAL CLIP FOR PLUG-IN RELAY MY,Main NDJ,200,Nos,14,2800,
,,,,RELAY 2C/O 5A@230VAC MY2GS,,200,Nos,138,27600,
,,,,RELAY 2C/O 5A@24VAC MY2N,,50,Nos,158,7900,
,,,,RELAY 4C/O 3A@230VAC MY4GS,,300,Nos,166,49800,
,,,,RELAY BASE 2C/O MY2GS,,250,Nos,63,15750,
,,,,SMPS 220V / 24VDC 4.5A S8JC,,10,Nos,870,8700,
,03-04-2025,MR/NDJ/25/16,Aarcee Electrical Controls,RELAY 4C/O 5A@110VDC MY4GS,Main NDJ,30,Nos,240,7200,
,03-04-2025,MR/NDJ/25/17,Vashi Integrated Solutions Ltd (Gurgaon),WIRE 35sqmm CU (FRLS) BLK POLYCAB,Main NDJ,200,Mtr,359.94,71988,
,,,,WIRE 16sqmm CU (FRLS) RED POLYCAB,,100,Mtr,164.22,16422,
,,,,WIRE 16sqmm CU (FRLS) YEL POLYCAB,,200,Mtr,164.22,32844,
,,,,WIRE 16sqmm CU (FRLS) BLUE POLYCAB,,100,Mtr,164.22,16422,
,,,,WIRE 10sqmm CU (FRLS) RED POLYCAB,,100,Mtr,106.26,10626,
,,,,WIRE 10sqmm CU (FRLS) YEL POLYCAB,,100,Mtr,106.26,10626,
,,,,WIRE 6sqmm CU (FRLS) RED POLYCAB,,100,Mtr,60.06,6006,
,,,,WIRE 6sqmm CU (FRLS) YEL POLYCAB,,100,Mtr,60.06,6006,
,,,,WIRE 6sqmm CU (FRLS) BLUE POLYCAB,,100,Mtr,60.06,6006,
,,,,WIRE 2.5sqmm CU (FRLS) YEL-GRN POLYCAB,,200,Mtr,26.17,5234,
,,,,WIRE 1.5sqmm CU (FRLS) RED POLYCAB,,2400,Mtr,15.79,37896,
,,,,WIRE 1.5sqmm CU (FRLS) BLK POLYCAB,,700,Mtr,15.79,11053,
,,,,WIRE 1.5sqmm CU (FRLS) YEL POLYCAB,,300,Mtr,15.79,4737,
,,,,WIRE 1.5sqmm CU (FRLS) BLUE POLYCAB,,300,Mtr,15.79,4737,
,,,,WIRE 1.5sqmm CU (FRLS) ORG POLYCAB,,200,Mtr,15.79,3158,
,,,,WIRE 1sqmm CU (FRLS) BLUE POLYCAB,,1400,Mtr,11.03,15442,
,,,,WIRE 1sqmm CU (FRLS) WHT POLYCAB,,600,Mtr,11.03,6618,
,,,,WIRE 0.5sqmm CU (FRLS) GRY POLYCAB,,2000,Mtr,6.24,12480,
,04-04-2025,MR/DL/25/3,Hemkunt Electronics,CONTROL MODULE FOR HWG,Main DL,5,Nos,1225,6125,
,04-04-2025,MR/DL/25/4,Khokhar Electricals Pvt Ltd (Noida J44),TERMINAL STOPPER GRY CLIPFIX-35 PHOENIX,Main DL,500,Nos,6.42,3210,
