KHOKHAR ELECTRICALS PVT. LTD.,,,,,,,,,,
"6/2-2, Industrial Area Kirti Nagar, New Delhi-110015",,,,,,,,,,
List of Purchase Order Vouchers,,,,,,,,,,
"Voucher Series : All, All Broker",,,,,,From 1-4-2025 to 1-5-2026,,,,
 - Indicates Unapproved Voucher/ - Indicates Rejected Voucher,,,,,,,,,,
,,,,,,,,,,
,Date,Vch/Bill No,Particulars,Item Details,Material Centre,Qty.,Unit,Price,Amount,Notes
,02-04-2025,PO/DL/20551,Theeta Electricals Pvt Ltd,HTR SS304 W/O FINS 2000W TL:2500MM SH:U,Main DL,60,Nos,529,31740,
,,,,HTR SS304 W/O FINS 2750W TL:3300MM SH:U,,12,Nos,648,7776,
,,,,HTR SS304 W/O FINS 3000W TL:3700MM SH:U,,62,Nos,700,43400,
,,,,HTR SS304 W/O FINS 3250W TL:3900MM SH:U,,12,Nos,726,8712,
,,,,HTR SS304 W/O FINS 3750W TL:4500MM SH:U,,12,Nos,804,9648,
,,,,HTR CU 8MM 500W TL21 IM9.5 U M14,,15,Nos,224,3360,
,,,,HTR CU 10.8 2500W TL45 IM13.5 U-LUP M16,,24,Nos,507,12168,
,,,,HTR CU 10.8 3000W TL52 IM13.5 U-LUP M16,,36,Nos,568,20448,
,02-04-2025,PO/DL/20552,Print Gallery,CORRUGATED BOX 596x396x363MM 5PLY,Main DL,66,Nos,71,4686,
,02-04-2025,PO/DL/20553,Lalit Electrical and Electronics,WIRE 6sqmm CU(TRI-RATED) BLK RRKABEL,Main DL,200,Mtr,62.6,12520,
,,,,WIRE 6sqmm CU(TRI-RATED) YEL+GRN RRKABEL,,300,Mtr,62.6,18780,
,02-04-2025,PO/DL/20554,Vishavkarma Electronics (India),"AIR SENSING PROBE 4"" WITH SMOOTH OD",Main DL,520,Nos,19,9880,
,,,,"AIR SENSING PROBE 12"" WITH SMOOTH OD",,210,Nos,35,7350,
,,,,"AIR SENSING PROBE 6"" WITH SMOOTH OD",,337,Nos,24,8088,
,02-04-2025,PO/DL/20555,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,21,Nos,2600,54600,
,02-04-2025,PO/DL/20556,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,1,Nos,2600,2600,
,02-04-2025,PO/DL/20557,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,1,Nos,2600,2600,
,02-04-2025,PO/DL/20558,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,3,Nos,2600,7800,
,02-04-2025,PO/DL/20559,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,1,Nos,2600,2600,
,02-04-2025,PO/DL/20560,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,4,Nos,2600,10400,
,02-04-2025,PO/DL/20561,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,1,Nos,2600,2600,
,02-04-2025,PO/DL/20562,Khokhar Electricals Pvt Ltd (Noida J44),FSM ELECTRIC HEATER UNIT,Main DL,1,Nos,2600,2600,
