KHOKHAR ELECTRICALS PVT. LTD.,,,,,,,,,,
"6/2-2, Industrial Area Kirti Nagar, New Delhi-110015",,,,,,,,,,
List of Purchase Vouchers,,,,,,,,,,
"Voucher Series : All, All Broker",,,,,,From 1-4-2025 to 1-5-2026,,,,
 - Indicates Unapproved Voucher/ - Indicates Rejected Voucher,,,,,,,,,,
,,,,,,,,,,
,Date,Vch/Bill No,Particulars,Item Details,Material Centre,Qty.,Unit,Price,Amount,Notes
,01-04-2025,4,Gandhi Traders,HS TUBING DIA 25mm FW40 BLK,Main DL,50,Mtr,31.62,1581,
,01-04-2025,1,Pranchi Enterprises,EPE FOAM BLOCK 150x110x75mm,Main NDJ,1000,Nos,10.5,10500,
,01-04-2025,3,Jai Industrial Gases,WELDING GAS CO2,Main NDJ,105,Kg,13,1365,
,,,,Freight Charges 18%,,1,-,250,250,
,01-04-2025,CM0003,Shiv Om Fastners,RIVET NUT HALF HEX M8x1.0,4526,10000,Nos,2.75,27500,
,01-04-2025,25200014,Durga Bhai And Co,MCB FP 2A 10kA 'C' ACTI9,Main NDJ,2,Nos,1012.5,2025,
,,,,MCCB FP 125A ATFM Icu50kA=Ics SCH,,4,Nos,14628.8,58515.2,
,01-04-2025,7U2500007,Air Liquide North India Private Limited,Freight Charges 18%,Main NDJ,2,-,2471.34,4942.68,
,,,,Freight Charges 18%,,2,-,155.14,310.28,
,,,,PREMIUM CYLINDER N2 LASAL 2001,,2,Nos,5301.51,10603.02,
,,,,PREMIUM CYLINDER ARGON ARCAL 1 CYL 50 L,,1,Nos,945,945,
,,,,OTHER CYLINDER ARCAL & PREMIUM ARGON MIX,,1,Nos,1140,1140,
,01-04-2025,25-26/0001,Power Tech International,ILLUMINATION LIGHT LED 5W 1 FEET,Main NDJ,100,Nos,170,17000,
,01-04-2025,SE/25-26/3,Sharma Electricals,RCBO FP 63A 300mA TYPE-AC,4553,14,Nos,2750,38500,
,,,,RCBO FP 32A 300mA TYPE-AC,,16,Nos,2446,39136,
,01-04-2025,SE/25-26/6,Sharma Electricals,MFM METER CL1 RS485 LED 4410,4465,53,Nos,4632,245496,
,01-04-2025,SE/25-26/12,Sharma Electricals,"SINGLE PHASE UNDER,OVER CURRENT RELAY 5A",4485,342,Nos,1875,641250,
,01-04-2025,SE/25-26/13,Sharma Electricals,UNDER/OVER VOLTAGE RELAY A/M RESET,4454,1,Nos,2124.25,2124.25,
,,,,MFM METER CL0.5 RS485 LED 4400,,2,Nos,3302.25,6604.5,
,01-04-2025,PE/25-26/0037,Paras Enterprises,HS SLEEVE 11KV 50x20mm,4454,50,Mtr,250,12500,
,01-04-2025,PG/24-25/C-0004,Print Gallery,CORRUGATED BOX 610x415x240MM 3PLY,Main NDC,286,Nos,51,14586,
,01-04-2025,2526/SS02/036881,Nippon India,THYRISTOR 3PH 125A 480V W5,Main DL,2,Nos,34700,69400,
,,,,THYRISTOR 3PH 30A 480V W5,,100,Nos,14250,1425000,
,,,,Freight Charges 18%,,1,-,8834,8834,
,01-04-2025,SFPL/25-26/00001,Supa Flex Pvt Ltd,PG21 METAL CABLE GLAND+LOCK NUT,Main DL,250,Nos,147,36750,
,02-04-2025,4,Pranchi Enterprises,EPE FOAM ROLLS 1400mmx135Mtrx3mm,Main DL,2,Nos,2080,4160,
,02-04-2025,2656,Philco Engineering Industries,PT 300VA 415V/220V,4637,1,Nos,2800,2800,
,,,,PT 1kVA 415/115VAC,,3,Nos,5600,16800,
,,,,PT 200VA 115/24VAC,,4,Nos,2700,10800,
,,,,PT 200VA 230/24V,,3,Nos,2700,8100,
,,,,PT 500VA 415/230V,,3,Nos,3750,11250,
,,,,PT 800VA 415/230V,,3,Nos,5600,16800,
,,,,PT 2kVA 415/230V +5% 1500VA 24V-250VA,,2,Nos,10500,21000,
,02-04-2025,2500052,Aarcee Mittal And Bros,CBCT ID120mm 30mA -GIC 17H7NNLN3,4560,36,Nos,1237.5,44550,
,02-04-2025,25260036,N-Rack Accessories Pvt Ltd,HINGE MS 4xSTUD M10 + 4xNUT M10 BK LHS,Main DL,300,Nos,178,53400,
,,,,HINGE MS 4xSTUD M10 + 4xNUT M10 BK RHS,,300,Nos,178,53400,
,02-04-2025,A-2500014,SMISEN Controls Pvt Ltd,LINE CHOKE AS PER DESCRIPTION,4623,2,Nos,2900,5800,
,,,,LINE CHOKE AS PER DESCRIPTION,,4,Nos,3350,13400,
,,,,LINE CHOKE AS PER DESCRIPTION,,2,Nos,1650,3300,
,02-04-2025,7U25000052,Air Liquide North India Private Limited,PREMIUM CYLINDER O2 LASAL 2003,Main NDJ,1,Nos,5898.85,5898.85,
,,,,Freight Charges 18%,,1,-,2471.34,2471.34,
,02-04-2025,NDJ/2025/01,Khokhar Electricals Pvt Ltd (Noida J44),FSM CNCH EP 30KA-900,4609-1-DL,7,Nos,5730,40110,
,,,,FSM CNCH EP 30KA-550,,4,Nos,5730,22920,
,,,,FSM CNCH EP 30KA-V550/V600/V700,,1,Nos,20120,20120,
,02-04-2025,SE/25-26/22,Sharma Electricals,BREAKER CONTROL SWT (TNC) 2NO+2NC SALZER,4395,3,Nos,864.2,2592.6,
,,,,DIGITAL AMMETER -/5A 1PH CL1 LT,,6,Nos,486.2,2917.2,
,,,,DIGITAL AMMETER -/5A 3PH CL1 LT,,7,Nos,741,5187,
,,,,"VAF,PF METER CL1 RS485 LED LT",,3,Nos,1554.8,4664.4,
,02-04-2025,T0009/25-26,Aarcee Electrical Controls,METAL CLIP FOR PLUG-IN RELAY MY,Main NDJ,200,Nos,14,2800,
,,,,RELAY 2C/O 5A@230VAC MY2GS,,200,Nos,138,27600,
,,,,RELAY 2C/O 5A@24VAC MY2N,,50,Nos,158,7900,
,,,,RELAY 4C/O 3A@230VAC MY4GS,,300,Nos,166,49800,
,,,,RELAY BASE 2C/O MY2GS,,250,Nos,63,15750,
,,,,SMPS 220V / 24VDC 4.5A S8JC,,10,Nos,870,8700,
,02-04-2025,T0010/25-26,Aarcee Electrical Controls,RELAY 4C/O 5A@110VDC MY4GS,Main NDJ,30,Nos,240,7200,
,02-04-2025,T0011/25-26,Aarcee Electrical Controls,RELAY 2C/O 5A@24VAC MY2GS,Main DL,100,Nos,158,15800,
,,,,METAL CLIP FOR PLUG-IN RELAY MY,,200,Nos,14,2800,
,02-04-2025,SCS/25-26/74,System Controls And Switchgears,RELAY BASE 2C/O CR-M2SFB,4454,5,Nos,115.5,577.5,
,,,,MCB TP 6A 10kA 'C' SB203M-C6,,2,Nos,610.7,1221.4,
,,,,MCB DP 16A 10kA 'C' SB202M-C16,,2,Nos,372,744,
,02-04-2025,USI/24-25/014,Ujjwal Switchgear Inc.,SPREADER FP 100-250A MCCB CVS UJJWAL,Main NDJ,4,Nos,232,928,
,,,,SPREADER FP 250A MCCB 8PCS DUDN1DN2-250,,5,Nos,670,3350,
,,,,SPREADER FP 400A MCCB 8PCS DN3B-DN3-400,,1,Nos,1405,1405,
,,,,SPREADER FP 630A MCCB 8PCS DN3-630,,1,Nos,1438,1438,
,,,,SPREADER FP 630A MCCB 8PCS T5-400-630,,1,Nos,2162,2162,
,,,,SPREADER FP 400/630A MCCB 3VA2*,,16,Nos,790,12640,
,,,,SPREADER FP 160A MCCB 3VM10/11 UJJWAL,,26,Nos,388,10088,
,,,,SPREADER TP 100A MCCB 6PCS DN0-100/DU100,,6,Nos,118,708,
,,,,SPREADER TP 250A MCCB 6PCS DU DN1DN2-250,,10,Nos,505,5050,
,,,,SPREADER TP 630A MCCB 6PCS DN3-630,,6,Nos,1132,6792,
,02-04-2025,BWD-0046/25-26,Network Inc,"AXIAL FAN 8"" 115VAC BALL EBM-PAPST",Main DL,10,Nos,2790,27900,
,,,,"MS FINGER GUARD GRILL 8"" FAN",,25,Nos,150,3750,
,,,,Freight Charges 18%,,1,-,1250,1250,
,02-04-2025,INV-25/26-0070,Printemporio Corp. (P) Ltd.,LEGEND PLATE 'KEPL' SMALL 26G (80x32),Main DL,1170,Nos,4.22,4937.4,
,03-04-2025,10890,JMR Techserv India,MACHINE SERVICE AND REPAIR,Main DL,1,Nos,524,524,
,,,,SERVICE CHARGES,,1,N.A.,120,120,
,03-04-2025,25-26/20,APC Switchgears & Controls,ILLUM SEL SWITCH 2P ON/OFF RED 3SU,Main NDJ,10,Nos,165,1650,
,03-04-2025,2606000141,Vashi Integrated Solutions Ltd (Gurgaon),WIRE 35sqmm CU (FRLS) BLK POLYCAB,Main NDJ,200,Mtr,359.94,71988,
